" Copy", " Копіювати"
"Generate Human-Friendly Customer ID","Згенерувати зрозумілий ID клієнта"
"Generate Products","Згенерувати товари"
"Generate Schedules Every","Генерувати розклади кожні"
"Generation Settings","Налаштування генерації"
"Generic Pages","Узагальнені сторінки"
"Get Credentials from PayPal","Отримати облікові дані з PayPal"
"Get Customer","Отримати клієнта"
"Get Feed","Отримати фід"
"Get Payment Update","Отримати оновлення платежу"
"Get Publisher ID from PayPal","Отримати ID видавця з PayPal"
"Get Video Information","Отримати інформацію про відео"
"Get shipping methods and rates","Отримати методи та тарифи доставки"
"Gift Certificate Payment: purchase of Gift Certificate","Оплата подарунковим сертифікатом: покупка сертифіката"
"Gift Certificate Redemption","Використання подарункового сертифіката"
"Gift Message","Подарункове повідомлення"
"Gift Message (optional)","Подарункове повідомлення (необов'язково)"
"Gift Message for This Order","Подарункове повідомлення для цього замовлення"
"Gift Message for the Entire Order","Подарункове повідомлення для всього замовлення"
"Gift Message for this Order","Подарункове повідомлення для цього замовлення"
"Gift Message is not available","Подарункове повідомлення недоступне"
"Gift Messages are not applicable for empty cart","Подарункові повідомлення не застосовуються до порожнього кошика"
"Gift Messages are not applicable for empty order","Подарункові повідомлення не застосовуються до порожнього замовлення"
"Gift Messages are not applicable for virtual products","Подарункові повідомлення не застосовуються до віртуальних товарів"
"Gift Options","Подарункові опції"
"Gift Options for ","Подарункові опції для "
"Gift Options for Individual Items","Подарункові опції для окремих товарів"
"Gift Options for the Entire Order","Подарункові опції для всього замовлення"
"Gift options","Подарункові опції"
"Girth","Обхват"
"Given column name ""%columnName"" is not present in collection.","Вказаний стовпець ""%columnName"" відсутній у колекції."
"Global","Глобально"
"Global Search","Глобальний пошук"
"Globally Editable","Глобально редагується"
"Go Today","Перейти на сьогодні"
"Go back","Повернутися"
"Go back to product details","Повернутися до деталей товару"
"Go to <a href=""%1"">My Downloadable Products</a>","Перейти до <a href=""%1"">Моїх завантажуваних товарів</a>"
"Go to Advanced Reporting","Перейти до розширеної звітності"
"Go to Advanced Reporting"""" link. </br> For more information","Посилання ""Перейти до розширеної звітності"". </br> Для отримання додаткової інформації"
"Go to Details Page","Перейти на сторінку деталей"
"Go to Home Page","Перейти на головну сторінку"
"Go to Payment Services","Перейти до платіжних сервісів"
"Go to Review Your Order","Перейти до огляду вашого замовлення"
"Go to Shipping Information","Перейти до інформації про доставку"
"Go to Wish List","Перейти до списку бажань"
"Gold","Золото"
"Google API","Google API"
"Google API key","Ключ Google API"
"Google API key is not defined","Ключ Google API не визначено"
"Google AdWords","Google AdWords"
"Google Analytics4","Google Analytics4"
"Google Distance Provider","Провайдер відстаней Google"
"Google GTag","Google GTag"
"Grace period","Пільговий період"
"Grand Total","Загальна сума"
"Grand Total (Base)","Загальна сума (Базова)"
"Grand Total (Excl. Tax)","Загальна сума (без податку)"
"Grand Total (Excl.Tax)","Загальна сума (без податку)"
"Grand Total (Incl. Tax)","Загальна сума (з податком)"
"Grand Total (Incl.Tax)","Загальна сума (з податком)"
"Grand Total (Purchased)","Загальна сума (придбана)"
"Grand Total Excl. Tax","Загальна сума без податку"
"Grand Total Incl. Tax","Загальна сума з податком"
"Grand Total to be Charged","Загальна сума до сплати"
"Grand Total:","Загальна сума:"
"GraphQL Query Resolver Results","Результати вирішення GraphQL-запиту"
"Gray","Сірий"
"Grayscale","Відтінки сірого"
"Grid","Сітка"
"Grid (default) / List","Сітка (за замовчуванням) / Список"
"Grid Only","Тільки сітка"
"Grid Size","Розмір сітки"
"Grid size determines the maximum number of columns available.","Розмір сітки визначає максимальну кількість доступних стовпців."
"Groove","Борозна"
"Gross Amount","Сума брутто"
"Group","Група"
"Group Information","Інформація про групу"
"Group Label","Мітка групи"
"Group Name","Назва групи"
"Group for Invalid VAT ID","Група для недійсного VAT ID"
"Group for Valid VAT ID - Domestic","Група для дійсного VAT ID - Внутрішній"
"Group for Valid VAT ID - Intra-Union","Група для дійсного VAT ID - Внутрішньоєвропейський"
"Group price must be a number greater than 0.","Ціна групи має бути числом більшим за 0."
"Group was not found","Групу не знайдено"
"Group was removed","Групу видалено"
"Group with id ""%1"" does not exist.","Групи з ідентифікатором ""%1"" не існує."
"Group with the same code","Група з таким самим кодом"
"Grouped Product Image","Зображення групового товару"
"Grouped Products","Групові товари"
"Grouped product items","Елементи групового товару"
"Groups","Групи"
"Guest","Гість"
"Guest checkout is disabled.","Оформлення замовлення для гостей вимкнено."
"Guest checkout will only work with shareable.","Оформлення для гостей працюватиме лише з опцією 'shareable'."
"Guests can not subscribe to the newsletter. You must create an account to subscribe.","Гості не можуть підписуватися на розсилку. Для підписки необхідно створити обліковий запис."
"HTML","HTML"
"HTML Code","HTML-код"
"HTML Head","Заголовок HTML"
"HTML is invalid","HTML недійсний"
"HTML tags are not allowed.","HTML-теги заборонені."
"HTTP (unsecure)","HTTP (незахищений)"
"HTTPS (SSL)","HTTPS (SSL)"
"Handelsbanken","Handelsbanken"
"Handling Fee","Плата за обробку"
"Hash has not been saved.","Хеш не збережено."
"Header","Заголовок"
"Header (center)","Заголовок (по центру)"
"Header Background Color","Колір фону заголовка"
"Header Border Color","Колір межі заголовка"
"Header Image URL","URL зображення заголовка"
"Header Template","Шаблон заголовка"
"Heading","Заголовок"
"Heading Text","Текст заголовка"
"Heading Type","Тип заголовка"
"Height","Висота"
"Hello,","Вітаємо,"
"Help","Допомога"
"Help Us Keep Magento Healthy","Допоможіть нам підтримувати Magento у доброму стані"
"Here are the products you're about to create.","Ось продукти, які ви збираєтеся створити."
"Hidden","Прихований"
"Hidden Virtual PayPal Debit Card Transaction","Прихована віртуальна транзакція дебетової картки PayPal"
"Hide Customer IP","Приховати IP-адресу клієнта"
"Hide from Product Page","Приховати на сторінці товару"
"Hiring","Набір персоналу"
"History","Історія"
"History Cleanup Every","Очищати історію кожні"
"Hits","Перегляди"
"Hold","Утримання"
"Hold for Dispute Investigation","Утримання для розслідування спору"
"Home","Головна"
"Home Goods and Furniture","Товари для дому та меблі"
"Home Improvement","Оздоблення дому"
"Home Page","Домашня сторінка"
"Horizontal","Горизонтально"
"Host","Хост"
"Hour","Година"
"Hourly","Щогодини"
"How many links to display at once.","Скільки посилань відображати одночасно."
"Hydrator %1 configured for resolver %2 must implement %3.","Гідратор %1, налаштований для резолвера %2, має реалізовувати %3."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Вибачте, але ми не можемо завершити вашу транзакцію. Будь ласка, зв'яжіться з нами для отримання допомоги."
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Вибачте, але нам не вдалося обробити ваш платіж. Будь ласка, спробуйте інший спосіб оплати або зв'яжіться з нами."
"ID","ID"
"ID required","Необхідний ID"
"ID: %1","ID: %1"
"ID: %s","ID: %s"
"IP Address","IP-адреса"
"IPN ""%1""","IPN ""%1"""
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Сума транзакції %3. ID транзакції: ""%4"""
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Спір вирішено та закрито. %2 Сума транзакції %3."
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Тип справи ""%2"". ID справи ""%3"" %4"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Повернено"". Повернення виконане продавцем. Зареєстровано сповіщення про повернену суму %1. ID транзакції: ""%2"". Кредитного меморандуму не створено. Будь ласка, створіть кредитний меморандум офлайн."
"IPN (Instant Payment Notification) Only","Лише IPN (Instant Payment Notification)"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.","Список IP-адрес, розділених ',', які можуть очищати конфігурацію Varnish для генерації файлу конфігурації."
"Id field of product link is required","Поле Id посилання на товар обов'язкове"
"Id required","Необхідний Id"
"Identifier","Ідентифікатор"
"Identifies the secure cloud storage project and data space used by Commerce Services Connector for this instance.","Ідентифікує захищений хмарний проєкт і простір даних, які використовуються Commerce Services Connector для цього екземпляра."
"Identifying Fields required","Необхідні ідентифікаційні поля"
"Identity link URL","URL-посилання ідентифікації"
"Identity type not found","Тип ідентифікації не знайдено"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Якщо %1 %2 %3 для підмножини товарів у кошику, що відповідають %4 цих умов:"
"If %1 of these conditions are %2:","Якщо %1 з цих умов %2:"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Якщо вказано 0, CAPTCHA у формі входу буде завжди доступна."
"If an item is %1 in the cart with %2 of these conditions true:","Якщо товар %1 у кошику та %2 з цих умов істинні:"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Якщо поточна позиція кадру не охоплює крайні сторінки, відображається посилання на поточну позицію плюс/мінус це значення."
"If empty no separation.","Якщо порожньо, роздільника не буде."
"If empty, UTF-8 will be used.","Якщо порожньо, буде використано UTF-8."
"If empty, the Page Title will be used","Якщо порожньо, буде використано Заголовок Сторінки"
"If empty, we'll use the category name here.","Якщо порожньо, ми використаємо тут назву категорії."
"If empty, we'll use the product name here.","Якщо порожньо, ми використаємо тут назву товару."
"If enabled, can be used by functional tests for extended reporting","Якщо увімкнено, може використовуватися функціональними тестами для розширеного звітування"
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Якщо значення не вказано, використовується системне за замовчуванням. Системне значення за замовчуванням може бути змінено сторонніми розширеннями."
"If not specified, Default Country from General Config will be used","Якщо не вказано, буде використано Країну за замовчуванням із Загальних налаштувань"
"If not specified, Default Search Engine will be used.","Якщо не вказано, буде використано Пошукову систему за замовчуванням."
"If set YES Email field will be required during Admin order creation for new Customer.","Якщо встановлено ТАК, поле Email буде обов'язковим під час створення замовлення в адмінці для нового клієнта."
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Якщо встановлено Так, ви можете входити з кількох комп'ютерів в один обліковий запис. Налаштування за замовчуванням Ні підвищує безпеку."
"If the invoice was created offline, try creating an offline credit memo.","Якщо рахунок було створено офлайн, спробуйте створити офлайн кредитний меморандум."
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Якщо немає користувацьких батьківських категорій, будь ласка, використовуйте категорію за замовчуванням. Ви можете змінити категорію в будь-який час у <a href=""%1"" target=""_blank"">Товари > Категорії</a>."
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Якщо немає користувацьких батьківських категорій, будь ласка, використовуйте категорію за замовчуванням. Ви можете змінити категорію в будь-який час у <a href=""%1"" target=""_blank"">Товари > Категорії</a>."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Якщо з %1 пов'язаний обліковий запис, ви отримаєте електронного листа з посиланням для скидання пароля."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Якщо ця опція увімкнена, клієнт може змінювати адресу доставки та спосіб доставки на сайті PayPal. У робочому режимі працює лише через протокол HTTPS."
"If yes, the Mageplaza menu will be displayed on the admin navigation. All of the Mageplaza module menu will be displayed there.","Якщо так, меню Mageplaza буде відображатися в навігації адмінки. Там будуть відображені всі меню модулів Mageplaza."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Якщо ви зареєстрований клієнт з ПДВ, будь ласка, <a href=""%1"">натисніть тут</a>, щоб ввести свою платіжну адресу для правильного розрахунку ПДВ."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Якщо ви зареєстрований клієнт з ПДВ, будь ласка, <a href=""%1"">натисніть тут</a>, щоб ввести свою адресу доставки для правильного розрахунку ПДВ."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Якщо ви зареєстрований клієнт з ПДВ, будь ласка, натисніть <a href=""%1"">тут</a>, щоб ввести свою платіжну адресу для правильного розрахунку ПДВ."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Якщо ви зареєстрований клієнт з ПДВ, будь ласка, натисніть <a href=""%1"">тут</a>, щоб ввести свою адресу доставки для правильного розрахунку ПДВ."
"If you believe it is the right one you can ignore this notice.","Якщо ви вважаєте, що це правильний варіант, ви можете ігнорувати це сповіщення."
"If you believe this is an error, please contact us at %1","Якщо ви вважаєте, що сталася помилка, будь ласка, зв'яжіться з нами за адресою %1"
"If you did not make this request, you can ignore this email and your password will remain the same.","Якщо ви не робили цього запиту, ви можете проігнорувати цей лист, і ваш пароль залишиться незмінним."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Якщо у вашому обліковому записі не налаштовано кількох користувачів, будь ласка, повторно введіть ваш Логін Постачальника/Торговця тут."
"If you have an account, sign in with your email address.","Якщо у вас є обліковий запис, увійдіть за допомогою вашої електронної адреси."
"If you have not authorized this action, please contact us immediately at %store_email","Якщо ви не санкціонували цю дію, будь ласка, негайно зв'яжіться з нами за адресою %store_email"
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Якщо ви не санкціонували цю дію, будь ласка, негайно зв'яжіться з нами за адресою <a href=""mailto:%store_email"">%store_email</a>"
"If you have product questions or need help with setup, follow this link and fill out the form","Якщо у вас є запитання щодо продукту або потрібна допомога з налаштуванням, перейдіть за цим посиланням і заповніть форму"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Якщо у вас є запитання щодо вашого замовлення, ви можете написати нам на <a href=""mailto:%store_email"">%store_email</a>"
"If you requested this change, reset your password here:","Якщо ви запросили цю зміну, скиньте свій пароль тут:"
"If you requested this change, set a new password here:","Якщо ви запросили цю зміну, встановіть новий пароль тут:"
"If you think this is an error, try signing out and signing in again.","Якщо ви вважаєте, що це помилка, спробуйте вийти і знову увійти."
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Якщо ваша установка Magento має кілька веб-сайтів, ви можете змінити область, щоб пов'язати клієнта з певним сайтом."
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Якщо ваша установка Magento має кілька веб-сайтів, ви можете змінити область, щоб використовувати товар на певних сайтах."
"Image","Зображення"
"Image Adapter","Адаптер зображень"
"Image Caption","Підпис до зображення"
"Image Detail","Деталі зображення"
"Image Opacity","Непрозорість зображення"
"Image Position","Позиція зображення"
"Image Processing Settings","Налаштування обробки зображень"
"Image Resolution","Роздільна здатність зображення"
"Image Size","Розмір зображення"
"Image optimization based on query parameters","Оптимізація зображень на основі параметрів запиту"
"Image resize: %1","Зміна розміру зображення: %1"
"Images","Зображення"
"Images (%1)","Зображення (%1)"
"Images (.gif, .jpg, .png)","Зображення (.gif, .jpg, .png)"
"Images Assets","Активи зображень"
"Images Cache","Кеш зображень"
"Images File Directory","Директорія файлів зображень"
"Images Upload Configuration","Налаштування завантаження зображень"
"Images and Videos","Зображення та Відео"
"Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://experienceleague.adobe.com/docs/commerce-admin/config/general/web.html"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://developer.adobe.com/commerce/frontend-core/guide/themes/configure/#resize-catalog-images"">use the CLI to regenerate images</a>.","Зображення мають бути оптимізовані на основі параметрів запиту вашим CDN або веб-сервером. Використовуйте режим сумісності для зворотної сумісності. <a href=""https://experienceleague.adobe.com/docs/commerce-admin/config/general/web.html"">Дізнайтеся більше</a> про формати URL-адрес каталогу.<br/><br/><strong style=""color:red"">Увага!</strong> Якщо ви повернетеся до режиму сумісності, ви повинні <a href=""https://developer.adobe.com/commerce/frontend-core/guide/themes/configure/#resize-catalog-images"">використовувати CLI для повторної генерації зображень</a>."
"Import","Імпорт"
"Import Behavior","Поведінка імпорту"
"Import History","Історія імпорту"
"Import History id","ID історії імпорту"
"Import Options","Опції імпорту"
"Import Service","Сервіс імпорту"
"Import Settings","Налаштування імпорту"
"Import Tax Rates","Імпорт податкових ставок"
"Import and Export Tax Rates","Імпорт та експорт податкових ставок"
"Import data validation is complete.","Перевірку даних імпорту завершено."
"Import failed: %1","Імпорт не вдався: %1"
"Import history","Історія імпорту"
"Import successfully done","Імпорт успішно виконано"
"Import/Export","Імпорт/Експорт"
"Import/Export Tax Rates","Імпорт/Експорт податкових ставок"
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Перевірка даних імпорту - Стратегію перевірки не знайдено"
"Important: ","Важливо: "
"Imported File","Імпортований файл"
"In Cart","У кошику"
"In Progress","В процесі"
"In Stock","В наявності"
"In order to personalize your Advanced Reporting experience, please select your industry.","Щоб персоналізувати ваш досвід розширеної звітності, будь ласка, оберіть вашу галузь."
"In stock","В наявності"
"In stock alert! We wanted you to know that these products are now available:","Сповіщення про наявність! Ми хотіли повідомити, що ці товари тепер доступні:"
"In-Store Pickup Carrier Rate Request Validator must implement %1.","Валідатор запиту тарифів перевізника для самовивозу з магазину має реалізовувати %1."
"In-Store Pickup is not available with multiple address checkout.","Самовивоз з магазину недоступний при оформленні замовлення з кількома адресами."
"Inactive","Неактивний"
"Inc. Tax","Вкл. податок"
"Incentive","Стимул"
"Incl. Tax","Вкл. податок"
"Include FPT In Subtotal","Включати FPT у проміжний підсумок"
"Include Tax to Amount","Включати податок у суму"
"Include Virtual Products in Price Calculation","Включати віртуальні товари в розрахунок ціни"
"Include in Menu","Включати в меню"
"Includes advanced tools to design page layouts, add Magento content (Product and Category data, CMS content and Blocks), and format text.<br /><br />For Product Attributes — Page Builder can be selected as the “input type” to design layouts and create content.","Включає розширені інструменти для проектування макетів сторінок, додавання вмісту Magento (дані товарів і категорій, вміст CMS і блоки) та форматування тексту.<br /><br />Для атрибутів товару — Page Builder можна вибрати як ""тип введення"" для проектування макетів і створення вмісту."
"Including FPT and FPT description","Включаючи FPT та опис FPT"
"Including FPT only","Включаючи лише FPT"
"Including Tax","Включаючи податок"
"Including and Excluding Tax","Включаючи та виключаючи податок"
"Incoming Message","Вхідне повідомлення"
"Incorrect CAPTCHA","Неправильна CAPTCHA"
"Incorrect CAPTCHA.","Неправильна CAPTCHA."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Неправильний клас Security Checker. Він має реалізовувати SecurityCheckerInterface"
"Incorrect credit card expiration date.","Неправильна дата закінчення терміну дії кредитної картки."
"Incorrect credit card expiration month.","Неправильний місяць закінчення терміну дії кредитної картки."
"Incorrect credit card expiration year.","Неправильний рік закінчення терміну дії кредитної картки."
"Incorrect timestamp value in the oauth_timestamp parameter","Неправильне значення мітки часу в параметрі oauth_timestamp"
"Indeterminate","Невизначений"
"Index Management","Керування індексами"
"Index product EAV","Індексування EAV товару"
"Index product prices","Індексування цін товарів"
"Index stock","Індексування запасів"
"Index type is not valid","Тип індексу недійсний"
"Indexed category/products association","Проіндексована асоціація категорія/товари"
"Indexed product/categories association","Проіндексована асоціація товар/категорії"
"Indexed product/rule association","Проіндексована асоціація товар/правило"
"Indexed rule/product association","Проіндексована асоціація правило/товар"
"Indexer","Індексатор"
"Indexer Management","Керування індексатором"
"Industry","Галузь"
"Infinite Loop","Нескінченний цикл"
"Info:","Інформація:"
"Information","Інформація"
"Inline","Вбудований"
"Input Type","Тип вводу"
"Input Validation for Store Owner","Валідація вводу для власника магазину"
"Input data is empty","Вхідні дані порожні"
"Input data must be non-empty string.","Вхідні дані мають бути непорожнім рядком."
"Input data must be string or convertible into string.","Вхідні дані мають бути рядком або типом, що перетворюється на рядок."
"Input type ""%value%"" not found in the input types list.","Тип вводу ""%value%"" не знайдено у списку типів вводу."
"InputException","InputException"
"InputException.","InputException."
"Insert File","Вставити файл"
"Insert Image...","Вставити зображення..."
"Insert Images...","Вставити зображення..."
"Insert Variable...","Вставити змінну..."
"Insert Widget","Вставити віджет"
"Insert Widget...","Вставити віджет..."
"Inserting a widget does not create a widget instance.","Вставка віджета не створює екземпляр віджета."
"Inset","Вставлений"
"Installed Currencies","Встановлені валюти"
"Installment","Розстрочка"
"Instructions","Інструкції"
"Integer","Ціле число"
"Integer Number","Ціле число"
"Integration","Інтеграція"
"Integration '%1' has been sent for activation.","Інтеграцію '%1' відправлено на активацію."
"Integration '%1' has been sent for re-authorization.","Інтеграцію '%1' відправлено для повторної авторизації."
"Integration Details","Деталі інтеграції"
"Integration ID is not specified or is invalid.","ID інтеграції не вказано або він недійсний."
"Integration Info","Інформація про інтеграцію"
"Integration Tokens for Extensions","Токени інтеграції для розширень"
"Integration configuration file","Файл конфігурації інтеграції"
"Integration not secure","Інтеграція не безпечна"
"Integration with ID '%1' does not exist.","Інтеграції з ID '%1' не існує."
"Integration with ID '%1' doesn't exist.","Інтеграції з ID '%1' не існує."
"Integration with name '%1' exists.","Інтеграція з назвою '%1' вже існує."
"Integrations","Інтеграції"
"Integrations API Configuration","Конфігурація API інтеграцій"
"Integrations API configuration file","Файл конфігурації API інтеграцій"
"Integrations Configuration","Конфігурація інтеграцій"
"Interactive","Інтерактивний"
"Interface Locale","Локаль інтерфейсу"
"Internal error. Check exception log for details.","Внутрішня помилка. Деталі див. в журналі винятків."
"International AVS response","Міжнародна AVS-відповідь"
"Interval","Інтервал"
"Interval Division Limit","Ліміт поділу інтервалу"
"Invalid %1. %2","Недійсний %1. %2"
"Invalid Callback URL","Недійсний Callback URL"
"Invalid Credit Card Number","Недійсний номер кредитної картки"
"Invalid EAV attribute","Недійсний атрибут EAV"
"Invalid Form Key. Please refresh the page.","Недійсний ключ форми. Будь ласка, перезавантажте сторінку."
"Invalid Identity Link URL","Недійсний URL-посилання ідентифікації"
"Invalid Item Quantity Requested.","Запитано недійсну кількість товару."
"Invalid Quote Item id %1","Недійсний ID елемента кошика %1"
"Invalid Rejected Callback URL","Недійсний URL для відхиленого зворотного виклику"
"Invalid UI Component element name: '%1'","Недійсна назва елемента UI-компонента: '%1'"
"Invalid UI Component element name: ''","Недійсна назва елемента UI-компонента: ''"
"Invalid URL key","Недійсний URL-ключ"
"Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues.","Недійсний URL-ключ. Ключ ""%1"" не можна використовувати для генерації латинського URL-ключа. Використовуйте латинські літери та цифри, щоб уникнути проблем із генерацією URL-ключа."
"Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues.","Недійсний URL-ключ. Назву категорії ""%1"" не можна використовувати для генерації латинського URL-ключа. Додайте URL-ключ або змініть назву категорії, використовуючи латинські літери та цифри, щоб уникнути проблем із генерацією URL-ключа."
"Invalid XML","Недійсний XML"
"Invalid XML in file %1:\n%2","Недійсний XML у файлі %1:\n%2"
"Invalid XML: Detected use of illegal DOCTYPE","Недійсний XML: Виявлено використання забороненого DOCTYPE"
"Invalid address id %1","Недійсний ID адреси %1"
"Invalid alias, already exists in joint attributes","Недійсний псевдонім, вже існує в об'єднаних атрибутах"
"Invalid attribute %1","Недійсний атрибут %1"
"Invalid attribute %fieldName = %fieldValue.","Недійсний атрибут %fieldName = %fieldValue."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Недійсний атрибут %label = %priceTo. ID рядка: SKU = %SKU, ID магазину: %storeId, Ціна від: %priceFrom, Ціна до: %priceTo."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Недійсний атрибут Собівартість = %cost. ID рядка: SKU = %SKU, ID магазину: %storeId."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Недійсний атрибут Ціна = %price. ID рядка: SKU = %SKU, ID магазину: %storeId, Ціна від: %priceFrom, Ціна до: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недійсний атрибут Ціна = %price. ID рядка: SKU = %SKU, ID веб-сайту: %websiteId, Група клієнтів: %customerGroup, Кількість: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недійсний атрибут Тип ціни = %priceType. ID рядка: SKU = %SKU, ID веб-сайту: %websiteId, Група клієнтів: %customerGroup, Кількість: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недійсний атрибут Кількість = %qty. ID рядка: SKU = %SKU, ID веб-сайту: %websiteId, Група клієнтів: %customerGroup, Кількість: %qty."
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недійсний атрибут SKU = %SKU. ID рядка: SKU = %SKU, ID веб-сайту: %websiteId, Група клієнтів: %customerGroup, Кількість: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недійсний атрибут ID веб-сайту = %websiteId. ID рядка: SKU = %SKU, ID веб-сайту: %websiteId, Група клієнтів: %customerGroup, Кількість: %qty."
"Invalid attribute identifier for filter (%1)","Недійсний ідентифікатор атрибута для фільтра (%1)"
"Invalid attribute name: %1","Недійсна назва атрибута: %1"
"Invalid attribute requested: %1","Запит недійсного атрибута: %1"
"Invalid attribute type","Недійсний тип атрибута"
"Invalid backend model specified: %1","Вказано недійсну backend-модель: %1"
"Invalid block type","Недійсний тип блоку"
"Invalid block type: %1","Недійсний тип блоку: %1"
"Invalid callback: Not_Existed_Class::execute can't be called","Недійсний зворотний виклик: Not_Existed_Class::execute не може бути викликаний"
"Invalid carrier: %1","Недійсний перевізник: %1"
"Invalid character encountered in increment ID: %1","Недійсний символ у ID інкременту: %1"
"Invalid confirmation token","Недійсний токен підтвердження"
"Invalid cookie lifetime: %1","Недійсний час життя cookie: %1"
"Invalid cookie path","Недійсний шлях для cookie"
"Invalid cron expression, expecting 'from-to' structure: %1","Недійсний cron-вираз, очікується структура 'from-to': %1"
"Invalid cron expression, expecting 'match/modulus': %1","Недійсний cron-вираз, очікується 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Недійсний cron-вираз, очікується числовий модуль: %1"
"Invalid cron expression: %1","Недійсний cron-вираз: %1"
"Invalid customer address id %1","Недійсний ID адреси клієнта %1"
"Invalid customer id %1","Недійсний ID клієнта %1"
"Invalid data","Недійсні дані"
"Invalid data provided","Надано недійсні дані"
"Invalid data.","Недійсні дані."
"Invalid date","Недійсна дата"
"Invalid date specified","Вказано недійсну дату"
"Invalid default date","Недійсна дата за замовчуванням"
"Invalid default decimal value","Недійсне десяткове значення за замовчуванням"
"Invalid domain name: %1","Недійсне доменне ім'я: %1"
"Invalid download link type.","Недійсний тип посилання для завантаження."
"Invalid email address","Недійсна електронна адреса"
"Invalid entity supplied","Надано недійсний об'єкт"
"Invalid entity supplied: %1","Надано недійсний об'єкт: %1"
"Invalid entity type","Недійсний тип об'єкта"
"Invalid entity_type specified: %1","Вказано недійсний entity_type: %1"
"Invalid export type supplied for grid export block","Надано недійсний тип експорту для блоку експорту сітки"
"Invalid file format.","Недійсний формат файлу."
"Invalid file name","Недійсне ім'я файлу"
"Invalid file upload attempt","Невдала спроба завантаження файлу"
"Invalid file upload attempt.","Невдала спроба завантаження файлу."
"Invalid foreign key","Недійсний зовнішній ключ"
"Invalid form type.","Недійсний тип форми."
"Invalid format.","Недійсний формат."
"Invalid item option format.","Недійсний формат опції товару."
"Invalid joint fields","Недійсні об'єднані поля"
"Invalid link type.","Недійсний тип посилання."
